path,imported_by_paper_mainline,runtime_executed,keep,replacement,action
.gitignore,no,unknown,review,root-level release equivalent,review
.gitmodules,no,unknown,review,root-level release equivalent,review
LA_plan.md,no,unknown,no,rewritten release documentation,delete
LA_update0.md,no,unknown,no,rewritten release documentation,delete
LA_update0_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update1.md,no,unknown,no,rewritten release documentation,delete
LA_update10_synthetic_pool_selection.md,no,unknown,no,rewritten release documentation,delete
LA_update11_training_mainline_refactor.md,no,unknown,no,rewritten release documentation,delete
LA_update12_training_mainline_boundaries.md,no,unknown,no,rewritten release documentation,delete
LA_update13_clean_default_validation.md,no,unknown,no,rewritten release documentation,delete
LA_update14_training_mainline_refactor.md,no,unknown,no,rewritten release documentation,delete
LA_update15_training_mainline_refactor_results.md,no,unknown,no,rewritten release documentation,delete
LA_update16_stage_aware_soft_reliability.md,no,unknown,no,rewritten release documentation,delete
LA_update17_stage_aware_direct_objective.md,no,unknown,no,rewritten release documentation,delete
LA_update18_stage_source_diagnostics_and_500step.md,no,unknown,no,rewritten release documentation,delete
LA_update19_source_stage_cross_tab.md,no,unknown,no,rewritten release documentation,delete
LA_update1_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update2.md,no,unknown,no,rewritten release documentation,delete
LA_update20_source_ablation_train_rgb_only.md,no,unknown,no,rewritten release documentation,delete
LA_update21_training_mainline_refactor.md,no,unknown,no,rewritten release documentation,delete
LA_update22_cache_aligned_mainline.md,no,unknown,no,rewritten release documentation,delete
LA_update23_training_mainline_refactor.md,no,unknown,no,rewritten release documentation,delete
LA_update24_training_mainline_fullchain_100_500.md,no,unknown,no,rewritten release documentation,delete
LA_update25_training_mainline_refactor.md,no,unknown,no,rewritten release documentation,delete
LA_update26_capacity_fullchain_ablation.md,no,unknown,no,rewritten release documentation,delete
LA_update27_refactored_training_mainline.md,no,unknown,no,rewritten release documentation,delete
LA_update28_refactored_mainline_500step_results.md,no,unknown,no,rewritten release documentation,delete
LA_update29_clean_mainline_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update2_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update3.md,no,unknown,no,rewritten release documentation,delete
LA_update30_oldhospital_objective_ablation.md,no,unknown,no,rewritten release documentation,delete
LA_update31_oldhospital_objective_multiseed.md,no,unknown,no,rewritten release documentation,delete
LA_update32_pnp_aware_landmark_utility.md,no,unknown,no,rewritten release documentation,delete
LA_update3_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update4_pseudo_query_closure.md,no,unknown,no,rewritten release documentation,delete
LA_update5_synthetic_rgb_fix.md,no,unknown,no,rewritten release documentation,delete
LA_update6_rgb_teacher_appearance_uncertainty.md,no,unknown,no,rewritten release documentation,delete
LA_update7_wildgaussians_oldhospital.md,no,unknown,no,rewritten release documentation,delete
LA_update8_wildgaussians_synthetic_quality.md,no,unknown,no,rewritten release documentation,delete
LA_update9_synthetic_qa_gating.md,no,unknown,no,rewritten release documentation,delete
LICENSE,no,unknown,review,root-level release equivalent,review
README.md,no,unknown,review,root-level release equivalent,review
arguments/__init__.py,yes,unknown,yes,root-level core module,migrate
assets/STDLoc_pipeline.png,no,unknown,review,root-level release equivalent,review
assets/logo.jpg,no,unknown,review,root-level release equivalent,review
cache_sparse_poses.py,no,unknown,review,root-level release equivalent,review
configs/lafgs_paper_mainline.yaml,no,entrypoint,yes,root-level core module + thin CLI,migrate
configs/lafgs_v1_frozen_cambridge.yaml,no,unknown,review,root-level release equivalent,review
configs/lafgs_v1_slps_cambridge.yaml,no,unknown,no,none; excluded by frozen method,delete
configs/locaware/cambridge.yaml,no,unknown,review,root-level release equivalent,review
configs/locaware/lafgs_v2_oldhospital_canonical_48k_a4.json,no,unknown,review,root-level release equivalent,review
configs/stdloc_7scenes.yaml,no,unknown,review,root-level release equivalent,review
configs/stdloc_cambridge.yaml,no,unknown,review,root-level release equivalent,review
configs/stdloc_cambridge_efficient.yaml,no,unknown,review,root-level release equivalent,review
cpp/CMakeLists.txt,no,unknown,review,root-level release equivalent,review
cpp/lafgs_dependency_pose.cpp,no,unknown,no,none; excluded by frozen method,delete
cpp/lafgs_preemptive_pose.cpp,no,unknown,no,none; excluded by frozen method,delete
